Name,About,Url_image,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Adaptability,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,All Around Friendliness,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Health And Grooming Needs,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Trainability,Energy Level,Intensity,Exercise Needs,Potential For Playfulness,Physical Needs,Dog Breed Group,Height,Weight,Life Span
Bullador,"The Bullador is a mixed breed dog–a cross between the Labrador and English Bulldog breeds. These pups fall into the medium-to-large size range. Active and loyal, Bulladors inherited some of the best traits from both of their parents. Bulladors should not be confused with Labrabulls –Labrador Retriever and Pit Bull mixes. Despite their unfortunate status as a designer breed, you can find these mixed pups in shelters and breed specific rescues, so remember to adopt! Don’t shop! If you are a longtime dog parent and want to add a social, furry companion to your family, please step right up! Big homes with yards are ideal but not required. Bulladors can live in apartments as long as they get plenty of exercise and lots of love. They’re protective of their loved ones and friendly with people, children, and other dogs. Don’t leave them alone for long periods, though, or else they may become bored and destructive. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Bullador. You should also pick up this dog brush and massager for your short-haired pup!",https://cdn1-www.dogtime.com/assets/uploads/2020/02/bullador-mixed-dog-breed-pictures-cover.jpg,2,2,4,2,2,2,2,4,4,4,4,4,4,4,4,3,5,4,4,4,4,2,4,4,3,4,4,4,4,4,4,Mixed Breed Dogs,46.99,31.75,11.0
Bracco Italiano,"In their native Italy, the Bracco Italiano is known as a hunting dog breed , but they’re also gaining notice as a sweet and affectionate family companion . With their long ears, droopy lips, and soulful expression, the Bracco Italiano has a distinctive look. They’re believed to be an ancient breed, dating back to the fourth or fifth century B.C. The Bracco Italiano goes by a number of other names, including Italian Pointer, The Italian Pointing Dog, and Bracco. If this dog breed interests you, then you may find these adorable pups in shelters or breed specific rescues. Remember, it’s always better to adopt and not shop! These smart dogs have endless amounts of energy and do best in homes with yards. The Bracco is also well suited for all households, from single individuals to large families with children. Though they are not watchdog material, they will let you know if they sense a change in their environment. If you want an energetic dog who will keep you on your toes and love you unconditionally, the Bracco Italiano may be the right dog for you!",https://cdn3-www.dogtime.com/assets/uploads/2019/11/Bracco-Italiano-dog-breed-pictures-cover.jpg,1,2,4,3,3,3,3,5,4,5,3,4,3,2,5,2,3,4,3,3,4,2,5,2,3,3,4,4,5,4,4,Sporting Dogs,60.96,32.89,12.0
Bull Terrier,"The Bull Terrier was originally developed in the 19th century as a fighting dog and, later, a fashionable companion for gentlemen, but these days they’re a family companion and show dog. They’re a dog breed distinguished by their long, egg-shaped head. Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you. This dog is a lover, not a fighter. In fact, Bull Terriers are known for being affectionate to all the members of their household, especially children. Their friendliness and love of people also means they don’t like to be left alone for long hours, though. They want to be a part of all their humans’ daily activities. Because they have high energy and intensity, these dogs need plenty of exercise and vigorous playtime. If you can be firm and consistent with training, stay active to keep up with your pup, and provide plenty of love and attention, then this dog may be your new best friend! DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Bull Terrier. You should also pick up this dog brush and massager for your short-haired pup!",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23060_bull-terrier-460x290.jpg,4,3,5,2,1,4,3,5,5,4,5,5,3,1,5,4,5,2,3,5,4,4,4,1,5,4,4,5,5,5,5,Terrier Dogs,54.61,24.95,12.5
Briard,"Underneath the Briard’s long, shaggy coat lies a bold spirit and keen intelligence. True to his French roots, he can be aloof with strangers, but is affectionate and loving toward members of his pack. Bred as a herding and guard dog to protect flocks and fight off predators, he was adopted as a working dog during World War I and used by troops as sentries, ammunition carriers, messengers, and medic dogs. Today, the Briard enjoys the life of a companion dog, but he shows his versatility and working nature with his great successes in obedience, agility, conformation, herding, carting, and tracking competitions.",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23182_briard-460x290.jpg,3,3,4,3,4,3,3,4,5,5,2,4,1,1,1,3,3,4,2,4,4,2,3,4,5,4,4,4,4,4,4,Herding Dogs,13.97,38.56,11.0
Bugg,"The Bugg is a mixed breed dog–a cross between the Boston Terrier and Pug dog breeds. Intelligent, affectionate, and spunky, these pups inherited some of the best traits from both of their parents. The Bugg is sometimes called the Pugin or simply the Boston Terrier Pug. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! These cute pups are great apartment and house dogs, alike. Since they don’t require as much exercise as larger breeds, they’re an excellent choice for seniors or first-time owners. Still, this mix is an intelligent, playful dog, and they love being the center of attention. If you are looking for a silly pooch who will be glued to your side most of the time, this may be the right dog for you!",https://cdn1-www.dogtime.com/assets/uploads/2019/12/bugg-mixed-dog-breed-pictures-cover.jpg,5,4,3,2,2,3,3,4,3,2,3,3,2,2,4,4,4,2,3,3,4,4,3,4,2,3,4,3,2,4,3,Mixed Breed Dogs,40.64,7.94,12.5
Brittany,"Brittanys were bred as gundogs , and they definitely have birds on the brain. Although they’re often called Brittany Spaniels, the American Kennel Club dropped the word “spaniel” from this pointing breed’s name in 1982. These energetic dogs are versatile family companions and hunting dogs who work more closely to hunters than other pointing breeds. If you can satisfy their high energy and exercise needs, this may be the breed for you! DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Brittany. You should also pick up this dog water bottle for any outdoor adventures you have with your pup! See all Brittany dog breed characteristics below! Additional articles that will interest you:",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22956_brittany-460x290.jpg,1,3,5,1,4,3,3,5,5,5,4,5,3,5,3,4,3,3,4,3,5,3,5,3,4,4,5,3,5,5,5,Sporting Dogs,7.62,15.88,11.5
Brussels Griffon,"Originally bred to hunt and kill rats, this former Belgian street dog is a distinctive and unusual dog breed . Although he’s small, he’s hardly a pampered pooch. Affectionate and lively, his intelligence, sense of humor, and air of self-importance keep him one step ahead of his people. They adore him anyway.",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23098_brussels-griffon-460x290.jpg,5,2,5,1,1,2,3,5,4,4,3,4,3,3,3,3,3,1,3,3,4,3,1,4,5,3,5,3,4,5,4,Companion Dogs,,4.31,13.5
Broholmer,"The Broholmer is a large purebred dog from Denmark in northern Europe. Calm, protective, and friendly, this pup has some of the best qualities of any dog breed around! Broholmers go by a couple of other names, such as the Danish Mastiff or the Danish Broholmer. You may be able find these dogs at your local shelter or rescues, so please remember to adopt and not shop! These protective pooches can do fine in apartments but, because of their large size, are better suited for townhomes or something larger, preferably with a yard. They’re pack dogs and like to be around people, so larger households or families with children are perfect for them. If you want a protective, calm, large pooch who will love you unconditionally, then this may be the right dog for you!",https://cdn1-www.dogtime.com/assets/uploads/2019/09/Broholmer-dog-breed-pictures-cover.jpg,2,4,3,3,3,3,3,5,4,3,3,4,3,2,4,4,3,5,4,4,4,3,2,3,2,3,3,3,3,3,3,Companion Dogs,66.04,54.43,10.0
Boxerdoodle,"The Boxerdoodle is a mixed breed dog–a cross between the Boxer and Poodle dog breeds. Friendly, smart, and playful, these pups inherited some of the best qualities from both of their parents. The Boxerdoodle is also sometimes known as the Boxerpoo . You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add a Boxerdoodle to your home! The Boxerdoodle makes for an exceptionally playful and super friendly dog who can become a great addition to a family. They are active dogs who aren’t well suited to apartment living because of their innate need for exercise and play. If you have a fenced-in yard, your kids and the dog will become best play buddies; although, it’s always important to supervise sessions involving small children. As a heads up, due to the range of size between different types of Poodle, your Boxerdoodle could end up being anywhere from small to large in size.",https://cdn2-www.dogtime.com/assets/uploads/2019/09/boxerdoodle-mixed-dog-breed-pictures-cover.jpg,1,3,3,2,3,3,3,4,3,4,3,4,2,2,3,3,4,3,3,4,4,2,3,2,4,3,4,4,4,5,4,Mixed Breed Dogs,44.45,18.6,11.0
Boxweiler,"The Boxweiler is a mixed breed dog—a cross between the Boxer and Rottweiler dog breeds. Loving, loyal, and bright, these pups inherited some of the best qualities from both of their parents. Boxweilers goes by several other names, including Box Rotty, Boxer Rottie, and Boxie Rottie. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! These beautiful pups have a lot of energy and can get bored quite easily. It’s best if they’re in a larger home with a yard, rather than an apartment. They’re very loyal dogs who get along well with any family size. They also make excellent guard dogs without being overly aggressive. If you want an energetic dog who will keep you on your toes, alert you to any potential dangers, and love you unconditionally, then the Boxweiler may be perfect for you!",https://cdn3-www.dogtime.com/assets/uploads/2019/12/boxweiler-mixed-dog-breed-pictures-cover.jpg,2,3,4,2,3,2,3,5,4,4,2,4,3,2,3,3,4,4,3,4,4,2,2,3,1,3,4,3,4,4,4,Mixed Breed Dogs,60.96,38.56,10.5
Boykin Spaniel,"The Boykin Spaniel dog breed is known for his hunting skills, but he makes just as good a companion to a family as to a hunter, thanks to his smarts and his friendly confidence. The family should be an active one, however; this dog needs lots of exercise.",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23242_boykin-spaniel-460x290.jpg,1,3,4,3,3,4,3,5,5,4,3,4,4,1,1,2,4,3,3,4,4,4,2,3,4,4,5,5,5,4,5,Sporting Dogs,3.81,14.74,11.0
Boxmatian,"The Boxmatian is a mixed breed dog–a cross between the Boxer and Dalmatian dog breeds. Playful, goofy, and protective, these pups inherited some of the best qualities from both of their parents. You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add a Boxmatian to your home! The Boxmatian is a bit like a cartoon dog come to life! They have a larger-than-life personality and love to play and goof around. If you have a Boxmatian in your home, you’ll be laughing a lot. Properly trained, the breed is affectionate and loyal to their humans and will take on a guardian role. But be warned! Correct training from the outset is essential to offset any aggressive tendencies and destructive behavior. For these reasons, it may not be the best dog to bring into a family with small children. The Boxmatian also requires a very high degree of exercise and is not an apartment dog on any level.",https://cdn1-www.dogtime.com/assets/uploads/2019/09/boxmatian-mixed-dog-breed-pictures-cover.jpg,1,2,3,2,2,4,2,4,3,2,1,3,3,2,3,5,4,5,4,3,4,4,3,3,4,4,5,4,5,4,5,Mixed Breed Dogs,55.88,31.75,11.5
Boxer,"Boxer dogs were originally bred to be medium-size guard dogs. Today, although they are a part of the AKC’s Working Group , Boxers mostly find homes as loving family companions. That said, they still retain their high energy levels and need plenty of exercise. Square-jawed and muscular, this breed is the George Clooney of the dog world–a looker with a sense of humor and an underlying sweetness. They adore their families and will also appreciate consistent training that doesn’t rely on harsh reprimands. If you’re looking for a high-energy, easy-to-groom, family-friendly pooch, then this just may be the breed for you! DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Boxer. You should also pick up this dog fetch toy to help burn off your pup’s high energy!",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_22916_boxer-460x290.jpg,4,3,4,1,2,1,3,5,4,3,4,4,4,2,5,2,4,3,3,4,4,2,3,3,3,3,5,5,5,5,5,Working Dogs,58.42,29.48,11.0
Borzoi,"The Borzoi dog breed was developed in Russia as a coursing and hunting dog. These hounds hunted in teams of three to go after rabbit, foxes, and wolves. They later became popular as a companion for royalty across continental Europe. Although these are purebred dogs, you may find them in the care of shelters or rescue groups. Consider adoption if this is the breed for you. Borzois are laid-back family dogs who can even adapt to apartment living, despite their large size. They do not, however, fair well when left alone for long periods of time during the day. This sensitive breed needs companionship. Their beautiful coat also sheds a lot and requires some maintenance on your part. You’ll get a great couch potato buddy with a Borzoi, but you’ll still have to put in some effort to meet the breed’s needs. DogTime recommends this big, spacious crate to give your big Borzoi a place to rest and relax. You should also pick up this dog de-shedder for your high shedding pup! See all Borzoi characteristics below! Additional articles that will interest you:",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23018_borzoi-460x290.jpg,5,3,5,1,4,3,4,4,3,4,4,4,5,1,4,4,2,5,4,3,4,3,5,2,4,4,2,2,2,3,2,Hound Dogs,73.66,36.29,11.0
Boxador,"The Boxador is a mixed breed of dog–a cross between the Boxer and Labrador Retriever dog breeds. Medium to large in size, intelligent, and totally devoted to their families, these pups inherited some of the best qualities from both of their parents. Boxadors are also known as Laboxers, Boxerlabs, and Boxerdors. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! Boxadors are not a great choice for novice pet owners, but if you’re looking for a social, furry family companion, please step right up! Big homes with yards are ideal but not required, as long as these dogs get exercise and plenty of love and attention. Boxadors are protective of their loved ones and friendly with people, children, and other dogs. Don’t leave them alone for long periods, though, or else they may become bored and destructive. DogTime recommends this big, spacious crate to give your big Boxador a place to rest and relax. You should also pick up this dog brush and massager for your short-haired pup!",https://cdn3-www.dogtime.com/assets/uploads/2019/08/boxador-mixed-dog-breed-pictures-cover.jpg,2,2,3,1,2,2,2,5,4,4,4,4,4,2,5,2,4,4,4,5,5,3,2,3,3,4,5,5,5,5,5,Mixed Breed Dogs,60.96,36.29,13.5
Border Terrier,"The alert, good-natured Border Terrier was originally bred to assist in foxhunts by driving foxes out of their hiding places and out into the open for the hounds to chase. Nowadays, they make great family members who adore their humans. Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you. Border Terriers still have a powerful drive to hunt and dig , as well as the energy level that enabled them to keep up with hunters on horseback. These traits can make them an aggravating pet for some humans; for others, Border Terriers are wonderful companions who play hard and love harder. They can adapt to apartment life, so long as they get plenty of exercise. Give this pup plenty of physical activity, and you’ll have a loyal and affectionate best buddy for life. DogTime recommends this carrier for traveling with your small Border Terrier. You should also pick up this dog fetch toy to help burn off your pup’s high energy!",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23058_border-terrier-460x290.jpg,4,3,3,1,4,3,3,5,4,2,5,4,3,1,2,4,5,2,3,3,5,5,5,1,4,4,4,4,5,5,5,Terrier Dogs,26.67,5.9,13.5
Bouvier des Flandres,"The Bouvier des Flandres was originally bred to be a versatile farm dog. He helped farmers in a multitude of tasks, including herding livestock (particularly cattle), pulling carts, and guarding. The hard-working and intelligent Bouvier is still an ideal farm dog, as well as a capable service, assistance, law enforcement, and guard dog. And while you can also find him competing in obedience, agility , and herding trials, serving as family companion is the role that seems to suit him best.",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23180_bouvier-des-flandres-460x290.jpg,3,2,4,2,4,2,3,5,5,2,2,4,1,1,2,3,4,4,3,5,4,2,2,4,2,3,4,5,4,4,4,Herding Dogs,15.24,38.56,11.0
Border Collie,"The Border Collie dog breed was developed to gather and control sheep in the hilly border country between Scotland and England. He is known for his intense stare, or “eye,” with which he controls his flock. He’s a dog with unlimited energy, stamina, and working drive, all of which make him a premier herding dog ; he’s still used today to herd sheep on farms and ranches around the world. The highly trainable and intelligent Border Collie also excels in various canine sports, including obedience, flyball, agility , tracking, and flying disc competitions.",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23178_border-collie-460x290.jpg,2,2,5,1,4,4,3,5,4,3,5,4,3,1,3,2,3,3,3,5,5,3,3,2,3,4,5,3,5,5,5,Herding Dogs,8.89,17.01,13.5
Boston Terrier Pekingese Mix,"The Boston Terrier Pekingese Mix is a mixed breed dog–a cross between the Boston Terrier and Pekingese dog breeds. Compact, intelligent, and loyal, these pups inherited some of the best qualities from both of their parents. Boston Terrier Pekingese Mixes go by several names, including Bostinese and Boston Peke. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and rescues, so remember to adopt! Don’t shop! These adorable pups make great apartment dogs for active urban dwellers, and they can even make great family pets in larger homes when trained consistently. If you’re looking for a spunky dog who will keep you on your toes, let you know of potential dangers–or visitors–and love you lots, the Boston Terrier Pekingese Mix might be the perfect dog for you. DogTime recommends this carrier for traveling with your small Boston Terrier Pekingese Mix . You should also pick up this dog de-shedder for your high shedding pup!",https://cdn2-www.dogtime.com/assets/uploads/2020/05/Boston-Terrier-Pekingese-Mixed-dog-breed-pictures-cover.jpg,4,3,3,2,2,2,3,4,4,3,3,4,2,2,4,4,4,1,3,2,4,3,2,4,2,3,3,3,3,4,3,Mixed Breed Dogs,31.75,7.94,12.5
Boston Terrier,"Boston Terriers have been popular since their creation a little more than a century ago. They were originally bred to be fighting dogs, but today, they’re gentle, affectionate companions with tuxedo-like markings that earned them the nickname “American Gentleman.”",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23138_boston-terrier-460x290.jpg,5,4,5,3,3,2,4,4,5,5,4,5,2,1,5,4,3,2,3,4,4,2,2,3,5,3,4,5,4,5,5,Companion Dogs,,7.94,14.0
Boston Boxer,"The Boston Boxer is a mixed breed dog–a cross between the Boston Terrier and Boxer dog breeds. Friendly, intelligent, and playful, these pups inherited some of the best traits from both of their parents. The Boston Boxer is also known as the Miniature Boxer or Mini Boxer. Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! Since Boston Boxers tend to be smaller than standard Boxers, this mixed breed tends to flourish in any setting, from urban apartments to suburban family homes with yards. Still, these dogs have a good amount of energy and need humans who are ready to keep up with their active pace. If you’re looking for a playful dog who loves to stick by your side–sometimes literally–then this just might be the right dog for you!",https://cdn3-www.dogtime.com/assets/uploads/2020/01/boston-boxer-mixed-dog-breed-pictures-cover.jpg,4,3,3,2,3,3,3,4,4,4,2,4,3,3,4,4,4,3,4,3,4,3,3,3,2,3,4,3,4,5,4,Mixed Breed Dogs,48.26,17.46,13.5
Bossie,"The Bossie is a mixed breed dog–a cross between the Boston Terrier and Australian Shepherd dog breeds. Medium in size, energetic, and loyal, these pups inherited some of the best qualities from both of their parents. The Bossie, also spelled Baussie, is an ideal pup. Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! These adorable pups make great additions to a large family or a single-person household. Just make sure they get plenty of attention and exercise. They should not be left alone in a yard because they may feel abandoned and become board and destructive. Read on to find out if this is the right dog for you!",https://cdn1-www.dogtime.com/assets/uploads/2019/11/bossie-mixed-dog-breed-pictures-cover.jpg,2,2,3,5,3,3,3,4,4,4,4,4,2,1,3,3,3,3,3,4,4,3,3,3,5,4,4,4,5,5,5,Mixed Breed Dogs,48.26,14.74,13.5
BoShih,"The BoShih is a mixed breed dog–a cross between the Shih Tzu and Boston Terrier breeds. Small, inquisitive and affectionate, these pups inherited some of the best qualities from both of their parents. BoShihs, or Bo Shihs, are also called Boston Shih Tzus. Despite their unfortunate status as a designer breed, you can find these mixed pups in shelters and breed specific rescues, so adopt! Don’t shop! BoShihs make great companion animals for just about anyone, but a retired senior would most likely be an ideal match. These dogs love humans who pamper and dote on them. They’re pretty versatile and can thrive in almost any environment–family home, apartment, or small country house as long as they have people around. They can get separation anxiety if they are left alone for long periods of time. They’re your companion as much as you’re their companion. Single person or big family, just make sure your BoShih gets lots of love and attention. They’ll require regular vet check ups, dental cleanings, and grooming sessions. Frequent potty breaks also help with their small bladders.",https://cdn2-www.dogtime.com/assets/uploads/2019/12/boshih-mixed-dog-breed-pictures-cover.jpg,5,4,3,1,2,2,3,4,2,3,4,3,2,1,5,3,3,2,3,2,3,1,1,2,2,2,3,2,3,5,3,Mixed Breed Dogs,34.29,6.8,13.5
Border Sheepdog,"The Border Sheepdog is a mixed breed dog—a cross between the Border Collie and Shetland Sheepdog breeds. Energetic, intelligent, and playful, these pups inherited some of the best traits from both of their parents. Border Sheepdogs go by a few names, including Sheltie Border and Border Sheltie. If you like to bring this beautiful mixed breed home, you might be able to find them at shelters or breed specific rescues. Remember, it’s always better to adopt and not shop! These adorable pooches are best suited for homes with yards, as they have a lot of energy. They also fit in with families of all sizes. These pups have a tendency to be yappy. If you want an energetic “firecracker” dog who will keep you on your toes, alert you to any potential dangers, and love you unconditionally, the Border Sheepdog may be the right pooch for you!",https://cdn1-www.dogtime.com/assets/uploads/2019/11/border-sheepdog-mixed-dog-breed-pictures-cover.jpg,2,3,2,2,4,2,3,5,4,3,3,4,3,1,3,4,2,3,3,4,5,4,3,4,2,4,5,3,5,4,4,Mixed Breed Dogs,48.26,15.88,13.5
Bordoodle,"The Bordoodle is a mixed breed dog–a cross between the Border Collie and Poodle dog breeds. Friendly, playful, and intelligent, these pups inherited some of the best qualities from both of their parents. Bordoodles are also sometimes known as Borpoos and Borderpoos . You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add a Bordoodle to your home! The Bordoodle makes for an excellent family dog. They’re friendly, love companionship, and will even become protective towards your family. The mixed breed is relatively low maintenance and is tolerant of most people, from very young to very old. Just be warned. Due to the Bordoodle’s intelligence, they can start to show stubborn traits if they don’t get proper socialization and training from a young age. Destructive behavior could even become an issue. But if you make sure you train your Bordoodle well, you’ll have the ultimately family dog!",https://cdn1-www.dogtime.com/assets/uploads/2019/09/bordoodle-mixed-dog-breed-pictures-cover.jpg,4,4,3,3,4,4,4,4,5,3,2,4,2,2,4,4,3,3,3,4,5,3,2,2,3,3,3,2,3,4,3,Mixed Breed Dogs,43.18,20.41,13.5
Borador,"The Borador is a mixed breed dog–a cross between the Border Collie and Labrador Retriever dog breeds. Outgoing, curious, and energetic, these pups inherited some of the best qualities from both of their parents. Boradors go by several names, including Border Collie Lab and Border Lab. Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed-specific rescues, so remember to adopt! Don’t shop! These cute and energetic pups make excellent companions for active owners, and they can thrive in any space. Still, these medium- to large-sized dogs can grow bored easily and need space, so they tend to do best in homes with yards and lots of activity. If you want a loyal, affectionate, mid-sized dog who thinks they’re a lap dog, the Borador might be the right pup for you",https://cdn2-www.dogtime.com/assets/uploads/2019/09/borador-mixed-dog-breed-pictures-cover.jpg,3,3,2,2,3,3,3,5,4,4,4,4,4,3,3,3,4,4,4,4,5,3,3,2,3,3,4,3,4,5,4,Hybrid Dogs,54.61,23.81,12.5
Bolognese,"A true companion dog, the Bolognese dog breed loves to be at his family’s side. However, he also loves getting his way and can be quite crafty about it, so be careful — you could find yourself being manipulated by a 10-pound furball.",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23240_bolognese-460x290.jpg,5,3,5,2,2,3,3,5,5,5,5,5,1,1,1,5,3,1,2,5,4,4,5,4,1,4,3,3,4,3,3,Companion Dogs,,4.99,13.0
Boglen Terrier,"The Boglen Terrier is a mixed breed dog–a cross between the Beagle and Boston Terrier dog breeds. These dogs are known to be playful, spunky, loyal, and often times, stubborn. This lovable and perky mix has proven to become quite popular among owners from various backgrounds. Boglen Terriers are also called Boston Beagle Terrier or Boggle . However, confusion often arises since Boggles are another name for a Boxer and Beagle mix. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed-specific rescues, so remember to adopt! Don’t shop! These adorable pups prefer big families because there are more people to interact with, and they don’t like being left alone for any length of time. They’re considered a high energy pup so they’re best suited for active adults or families with plenty of people to interact and play with. They will thrive in a household with a backyard, but will also be content living in an apartment as long as the pup can burn off energy with regular walks and trips to the dog park. Make sure you have a secure yard, as they’re prone to tracking and wandering off.",https://cdn1-www.dogtime.com/assets/uploads/2019/09/boglen-terrier-mixed-dog-breed-pictures-cover.jpg,4,4,4,2,2,3,3,5,5,5,5,5,2,1,4,3,3,2,3,2,2,4,4,4,5,4,4,5,4,5,5,Mixed Breed Dogs,36.83,11.34,12.5
Bohemian Shepherd,"The Bohemian Shepherd dog breed originated in the Czech Republic around the 1300s in the Chodsko region, hence why these dogs were commonly called the Chodský pes . They were first used as guard dogs and as herding dogs. Today, they make great family pets who will protect and watch over their humans. Other names this dog goes by include Bohemian Herder, Czech Sheepdog, and Chodenhund. Although these are purebred dogs, you may still find them in shelters and rescues. Remember to adopt! Don’t shop if this is the breed for you. The Bohemian Shepherd is an intelligent breed, always up for trying new activities and very aware of their humans’ needs. This sociable dog thrives in households with children and families, and they require daily physical and mental stimulation with toys and games to stay happy. While they may not be the best choice for first-time dog owners, these pups learn very quickly with patience and consistency and make great companions for those willing to put in the time. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Bohemian Shepherd. You should also pick up this dog fetch toy to help burn off your pup’s high energy!",https://cdn1-www.dogtime.com/assets/uploads/2020/04/Bohemian-Shepherd-dog-breed-pictures-cover.jpg,2,3,4,2,4,3,3,4,4,4,3,4,4,1,4,4,3,3,3,4,5,2,2,2,3,3,4,3,4,5,4,Herding Dogs,52.07,21.55,12.5
Bluetick Coonhound,"Fast and muscular, the Bluetick dog breed stands out for his striking coat. He has a pleasantly pleading expression and a big bawl mouth — meaning he has a long, drawn out bark. Although he’s a hunter first and foremost, the Bluetick can be a fine housedog and loves his people.",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23238_bluetick-coonhound-460x290.jpg,2,2,5,2,3,3,3,5,5,3,3,4,2,2,5,4,3,3,3,2,4,3,4,4,5,4,5,4,5,5,5,Hound Dogs,15.24,32.89,11.0
Bloodhound,"The Bloodhound’s ancestors were created in medieval France to trail deer and boar. Today, this is a highly active and intelligent dog breed whose keen sense of smell has found them a special place in law enforcement and search and rescue. Their fans love them for their sweet nature and unique appearance. Although this is a purebred dog, you may find them in the care of shelters or rescue groups. Consider adoption if this is the breed for you. For experienced dog parents, you’d have a hard time trying to find a more affectionate and loving companion, so long as you don’t mind a bit of drool here or there. But novices should beware of this breed’s notorious stubbornness and sensitivity. Bloodhounds need firm, consistent training and plenty of exercise. Meet the breed’s needs, and you’ll be rewarded with a content and happy best friend for life. DogTime recommends this big, spacious crate to give your big Bloodhound a place to rest and relax. You should also pick up this dog water bottle for any outdoor adventures you have with your pup! See all Bloodhound dog breed facts and characteristics below! Additional articles that will interest you:",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23016_bloodhound-460x290.jpg,1,2,4,2,3,3,3,5,5,5,5,5,4,5,1,3,3,4,3,3,4,5,3,4,5,4,5,4,5,3,4,Hound Dogs,63.5,43.09,13.0
Biewer Terrier,"The Biewer Terrier is a rare purebred dog created through the occurrence of a recessive piebald gene in two Yorkshire Terriers. These dogs are friendly, playful, and energetic, which are some of their best qualities. The Biewer Terrier, pronounced like “beaver,” are also known by the names Biewer à la Pom Pon, Biewer Yorkie, or Biewer Yorkshire. You may be able to find Biewer Terrier dogs at shelter and rescues, so remember to adopt! It’s always better than shopping! Since these energetic and lovable pups are small in stature, they are great for those who live in apartments or homes with or without backyards. They’re suited for a wide range of households from single and senior citizens to families with children. Biewer Terriers make great companion pets and they generally get along well with children and other pets, though they can be pretty active and have a tendency to be noisy, especially with strangers and dogs they don’t know.",https://cdn3-www.dogtime.com/assets/uploads/2019/08/biewer-terrier-dog-breed-pictures-cover.jpg,5,3,3,3,2,3,3,5,4,3,3,4,1,1,4,4,3,1,2,3,4,3,1,3,1,3,5,3,3,4,4,Terrier Dogs,22.86,2.72,13.5
